abbr;time;rre150h0
SMA;201804190600;0.0
SMA;201804190700;0.0
SMA;201804190800;0.0
SMA;201804190900;0.0
SMA;201804191000;0.0
SMA;201804191100;0.0
SMA;201804191200;0.0
SMA;201804191300;0.0
SMA;201804191400;0.0
SMA;201804191500;0.0
SMA;201804191600;0.0
SMA;201804191700;0.0
SMA;201804191800;0.0
SMA;201804191900;0.0
SMA;201804192000;0.0
SMA;201804192100;0.0
SMA;201804192200;0.0
SMA;201804192300;0.0
SMA;201804200000;0.0
SMA;201804200100;0.0
SMA;201804200200;0.0
SMA;201804200300;0.0
SMA;201804200400;0.0
SMA;201804200500;0.0
SMA;201804200600;0.0
SMA;201804200700;0.0
SMA;201804200800;0.0
SMA;201804200900;0.0
SMA;201804201000;0.0
SMA;201804201100;0.0
SMA;201804201200;0.0
SMA;201804201300;0.0
SMA;201804201400;0.0
SMA;201804201500;0.0
SMA;201804201600;0.0
SMA;201804201700;0.0
SMA;201804201800;0.0
SMA;201804201900;0.0
SMA;201804202000;0.0
SMA;201804202100;0.0
SMA;201804202200;0.0
SMA;201804202300;0.0
SMA;201804210000;0.0
SMA;201804210100;0.0
SMA;201804210200;0.0
SMA;201804210300;0.0
SMA;201804210400;0.0
SMA;201804210500;0.0
SMA;201804210600;0.0
SMA;201804210700;0.0
SMA;201804210800;0.0
SMA;201804210900;0.0
SMA;201804211000;0.0
SMA;201804211100;0.0
SMA;201804211200;0.0
SMA;201804211300;0.0
SMA;201804211400;0.0
SMA;201804211500;0.0
SMA;201804211600;0.0
SMA;201804211700;0.0
SMA;201804211800;0.0
SMA;201804211900;0.0
SMA;201804212000;0.0
SMA;201804212100;0.0
SMA;201804212200;0.0
SMA;201804212300;0.0
SMA;201804220000;0.0
SMA;201804220100;0.0
SMA;201804220200;0.0
SMA;201804220300;0.0
SMA;201804220400;0.0
SMA;201804220500;0.0
SMA;201804220600;0.0
SMA;201804220700;0.0
SMA;201804220800;0.0
SMA;201804220900;0.0
SMA;201804221000;0.0
SMA;201804221100;0.0
SMA;201804221200;0.0
SMA;201804221300;0.0
SMA;201804221400;0.0
SMA;201804221500;0.0
SMA;201804221600;0.0
SMA;201804221700;0.0
SMA;201804221800;0.0
SMA;201804221900;0.0
SMA;201804222000;0.0
SMA;201804222100;0.0
SMA;201804222200;0.0
SMA;201804222300;0.0
SMA;201804230000;0.0
SMA;201804230100;0.0
SMA;201804230200;0.0
SMA;201804230300;0.0
SMA;201804230400;0.0
SMA;201804230500;0.0
SMA;201804230600;0.0
SMA;201804230700;0.0
SMA;201804230800;0.0
SMA;201804230900;0.0
SMA;201804231000;0.0
SMA;201804231100;0.0
SMA;201804231200;0.0
SMA;201804231300;0.0
SMA;201804231400;0.0
SMA;201804231500;0.0
SMA;201804231600;0.0
SMA;201804231700;0.1
SMA;201804231800;0.8
SMA;201804231900;0.1
SMA;201804232000;0.0
SMA;201804232100;0.0
SMA;201804232200;0.0
SMA;201804232300;0.0
SMA;201804240000;0.0
SMA;201804240100;0.0
SMA;201804240200;0.0
SMA;201804240300;0.0
SMA;201804240400;0.0
SMA;201804240500;0.0
SMA;201804240600;0.0
SMA;201804240700;0.0
SMA;201804240800;0.0
SMA;201804240900;0.0
SMA;201804241000;0.0
SMA;201804241100;0.0
SMA;201804241200;0.0
SMA;201804241300;0.0
SMA;201804241400;0.0
SMA;201804241500;0.0
SMA;201804241600;0.0
SMA;201804241700;0.0
SMA;201804241800;0.0
SMA;201804241900;0.0
SMA;201804242000;0.0
SMA;201804242100;0.0
SMA;201804242200;0.0
SMA;201804242300;0.0
SMA;201804250000;0.0
SMA;201804250100;0.0
SMA;201804250200;0.0
SMA;201804250300;0.0
SMA;201804250400;0.0
SMA;201804250500;0.0
SMA;201804250600;0.0
SMA;201804250700;0.0
SMA;201804250800;0.0
SMA;201804250900;0.0
SMA;201804251000;0.0
SMA;201804251100;0.0
SMA;201804251200;0.0
SMA;201804251300;0.0
SMA;201804251400;0.0
SMA;201804251500;0.0
SMA;201804251600;0.0
SMA;201804251700;0.0
SMA;201804251800;0.0
SMA;201804251900;0.0
SMA;201804252000;0.0
SMA;201804252100;0.0
SMA;201804252200;0.0
SMA;201804252300;0.0
SMA;201804260000;0.0
SMA;201804260100;0.0
SMA;201804260200;0.0
SMA;201804260300;0.0
SMA;201804260400;0.0
SMA;201804260500;0.0
SMA;201804260600;0.0
SMA;201804260700;0.0
SMA;201804260800;0.0
SMA;201804260900;0.0
SMA;201804261000;0.0
SMA;201804261100;0.0
SMA;201804261200;0.0
SMA;201804261300;0.0
SMA;201804261400;0.0
SMA;201804261500;0.0
SMA;201804261600;0.0
SMA;201804261700;0.0
SMA;201804261800;0.0
SMA;201804261900;0.0
SMA;201804262000;0.0
SMA;201804262100;0.0
SMA;201804262200;0.0
SMA;201804262300;0.0
SMA;201804270000;0.0
SMA;201804270100;0.0
SMA;201804270200;0.0
SMA;201804270300;0.0
SMA;201804270400;0.0
SMA;201804270500;0.0
SMA;201804270600;0.0
SMA;201804270700;0.0
SMA;201804270800;0.0
SMA;201804270900;0.0
SMA;201804271000;0.0
SMA;201804271100;0.0
SMA;201804271200;0.0
SMA;201804271300;0.0
SMA;201804271400;0.0
SMA;201804271500;0.0
SMA;201804271600;0.0
SMA;201804271700;0.0
SMA;201804271800;0.0
SMA;201804271900;0.0
SMA;201804272000;0.0
SMA;201804272100;0.0
SMA;201804272200;0.0
SMA;201804272300;0.0
SMA;201804280000;0.0
SMA;201804280100;0.0
SMA;201804280200;0.0
SMA;201804280300;0.0
SMA;201804280400;0.0
SMA;201804280500;0.0
SMA;201804280600;0.0
SMA;201804280700;0.0
SMA;201804280800;0.0
SMA;201804280900;0.0
SMA;201804281000;0.0
SMA;201804281100;0.0
SMA;201804281200;0.0
SMA;201804281300;0.0
SMA;201804281400;0.0
SMA;201804281500;0.0
SMA;201804281600;0.0
SMA;201804281700;0.0
SMA;201804281800;0.0
SMA;201804281900;0.0
SMA;201804282000;0.0
SMA;201804282100;0.0
SMA;201804282200;0.0
SMA;201804282300;0.0
SMA;201804290000;0.0
SMA;201804290100;0.0
SMA;201804290200;0.0
SMA;201804290300;0.0
SMA;201804290400;0.0
SMA;201804290500;0.0
SMA;201804290600;0.0
SMA;201804290700;0.0
SMA;201804290800;0.0
SMA;201804290900;0.0
SMA;201804291000;0.0
SMA;201804291100;0.0
SMA;201804291200;0.0
SMA;201804291300;0.0
SMA;201804291400;0.0
SMA;201804291500;0.0
SMA;201804291600;0.0
SMA;201804291700;0.0
SMA;201804291800;0.0
SMA;201804291900;0.0
SMA;201804292000;0.0
SMA;201804292100;0.0
SMA;201804292200;0.0
SMA;201804292300;0.0
SMA;201804300000;0.0
SMA;201804300100;0.0
SMA;201804300200;0.5
SMA;201804300300;0.5
SMA;201804300400;0.2
SMA;201804300500;0.8
SMA;201804300600;0.0
SMA;201804300700;0.0
SMA;201804300800;0.0
SMA;201804300900;0.0
SMA;201804301000;0.0
SMA;201804301100;0.0
SMA;201804301200;0.0
SMA;201804301300;0.0
SMA;201804301400;0.0
SMA;201804301500;0.0
SMA;201804301600;0.0
SMA;201804301700;0.0
SMA;201804301800;0.0
SMA;201804301900;0.1
SMA;201804302000;0.2
SMA;201804302100;0.2
SMA;201804302200;0.0
SMA;201804302300;0.0
SMA;201805010000;0.0
SMA;201805010100;0.2
SMA;201805010200;0.4
SMA;201805010300;0.7
SMA;201805010400;0.9
SMA;201805010500;0.4
SMA;201805010600;0.3
SMA;201805010700;0.0
SMA;201805010800;0.0
SMA;201805010900;0.1
SMA;201805011000;0.2
SMA;201805011100;0.0
SMA;201805011200;0.0
SMA;201805011300;0.0
SMA;201805011400;0.0
SMA;201805011500;0.0
SMA;201805011600;0.0
SMA;201805011700;0.0
SMA;201805011800;0.0
SMA;201805011900;0.0
SMA;201805012000;0.0
SMA;201805012100;0.0
SMA;201805012200;0.0
SMA;201805012300;0.0
SMA;201805020000;0.0
SMA;201805020100;0.0
SMA;201805020200;0.0
SMA;201805020300;0.0
SMA;201805020400;0.0
SMA;201805020500;0.0
SMA;201805020600;0.0
SMA;201805020700;0.0
SMA;201805020800;0.0
SMA;201805020900;0.0
SMA;201805021000;0.0
SMA;201805021100;0.0
SMA;201805021200;0.0
SMA;201805021300;0.0
SMA;201805021400;0.0
SMA;201805021500;0.0
SMA;201805021600;0.0
SMA;201805021700;0.0
SMA;201805021800;0.0
SMA;201805021900;0.0
SMA;201805022000;0.0
SMA;201805022100;0.0
SMA;201805022200;0.0
SMA;201805022300;0.0
SMA;201805030000;0.0
SMA;201805030100;0.0
SMA;201805030200;0.0
SMA;201805030300;0.0
SMA;201805030400;0.0
SMA;201805030500;0.0
SMA;201805030600;0.0
SMA;201805030700;0.0
SMA;201805030800;0.0
SMA;201805030900;0.0
SMA;201805031000;0.0
SMA;201805031100;0.0
SMA;201805031200;0.0
SMA;201805031300;0.0
SMA;201805031400;0.0
SMA;201805031500;0.0
SMA;201805031600;0.0
SMA;201805031700;0.0
SMA;201805031800;0.0
SMA;201805031900;0.0
SMA;201805032000;0.0
SMA;201805032100;0.0
SMA;201805032200;0.0
SMA;201805032300;0.0
SMA;201805040000;0.0
SMA;201805040100;0.0
SMA;201805040200;0.0
SMA;201805040300;0.0
SMA;201805040400;0.0
SMA;201805040500;0.0
SMA;201805040600;0.0
SMA;201805040700;0.0
SMA;201805040800;0.0
SMA;201805040900;0.0
SMA;201805041000;0.0
SMA;201805041100;0.0
SMA;201805041200;0.0
SMA;201805041300;0.0
SMA;201805041400;0.0
SMA;201805041500;0.0
SMA;201805041600;0.0
SMA;201805041700;0.0
SMA;201805041800;0.0
SMA;201805041900;0.0
SMA;201805042000;0.0
SMA;201805042100;0.0
SMA;201805042200;0.0
SMA;201805042300;0.0
SMA;201805050000;0.0
SMA;201805050100;0.0
SMA;201805050200;0.0
SMA;201805050300;0.0
SMA;201805050400;0.0
SMA;201805050500;0.0
SMA;201805050600;0.0
SMA;201805050700;0.0
SMA;201805050800;0.0
SMA;201805050900;0.0
SMA;201805051000;0.0
SMA;201805051100;0.0
SMA;201805051200;0.0
SMA;201805051300;0.0
SMA;201805051400;0.0
SMA;201805051500;0.0
SMA;201805051600;0.0
SMA;201805051700;0.0
SMA;201805051800;0.0
SMA;201805051900;0.0
SMA;201805052000;0.0
SMA;201805052100;0.0
